
977612275963039745,2018-03-24,pic.twitter.com/jdiELPGA93,0,6,15

977580832327131137,2018-03-24,pic.twitter.com/0X3YoGTTvT,0,19,14

977378231191003137,2018-03-23,pic.twitter.com/WMDjjdFRxE,0,8,15

977343005593026560,2018-03-23,pic.twitter.com/SgeDWVk77l,1,37,12

977297706120089601,2018-03-23,pic.twitter.com/sDWRxCGZiV,2,27,26

977243779034992640,2018-03-23,pic.twitter.com/ElO9w4LrC6,0,17,14

977203376633999361,2018-03-23,pic.twitter.com/WuLdGMnuwV,0,27,17

977190821572300802,2018-03-23,pic.twitter.com/KasPVZgesG,3,26,19

977015844654993408,2018-03-22,pic.twitter.com/Zzr1DlNkh3,0,25,12

976980618201399296,2018-03-22,pic.twitter.com/N1UanY5C7D,3,57,48

976947254211891200,2018-03-22,pic.twitter.com/sKqIykC8ak,0,13,8

976929032758595585,2018-03-22,pic.twitter.com/aTUAWOaFP6,1,48,44

976892052205010944,2018-03-22,pic.twitter.com/D8BZ5YCjvF,0,10,18

976881436606296067,2018-03-22,pic.twitter.com/hStRiW6woi,0,3,8

976830890860040192,2018-03-22,pic.twitter.com/KTQOk8fhVH,3,42,55

976655974286143488,2018-03-21,pic.twitter.com/0Lw0bjQE5y,0,20,17

976622009810669568,2018-03-21,pic.twitter.com/G3XwigiUwG,0,18,16

976586893218451456,2018-03-21,pic.twitter.com/hCsTKzYxjw,0,10,18

976555315138310145,2018-03-21,pic.twitter.com/CekdYNkJ8l,9,96,71

976508585768239104,2018-03-21,pic.twitter.com/nfi6dCpbU1,1,27,25

976498209227812865,2018-03-21,pic.twitter.com/VIkgalNUJG,1,4,3

976480097266941953,2018-03-21,pic.twitter.com/cMNLnfIdva,0,10,7

976279780881448960,2018-03-20,pic.twitter.com/UbAmISxkuu,0,35,35

976153926721593344,2018-03-20,pic.twitter.com/IyYAHYA9M8,0,24,19

975908551704109057,2018-03-19,pic.twitter.com/wCrzs9sr2X,1,28,36

975840616134381568,2018-03-19,pic.twitter.com/fHK7am45xS,1,11,16

975800352321785857,2018-03-19,pic.twitter.com/hc2xVLiJjr,0,6,9

975771499251617793,2018-03-19,pic.twitter.com/VNGP37w54w,0,14,32

975565037980016641,2018-03-18,pic.twitter.com/GHe2nHbRe8,0,15,17

975497097582731264,2018-03-18,pic.twitter.com/CV8wuOhRoy,0,53,56

975401566713864193,2018-03-18,pic.twitter.com/pTLE1VAHm2,0,11,25

975206429136211973,2018-03-17,pic.twitter.com/BCEiYAlmOg,2,31,35

975108281734778880,2018-03-17,pic.twitter.com/hqbIB7hY0y,1,9,18

975026504718528512,2018-03-17,pic.twitter.com/z9T1rM3x2m,0,15,16

974832708097540097,2018-03-16,pic.twitter.com/GVzInF0Xr6,2,39,47

974806285001678848,2018-03-16,pic.twitter.com/kqjgbiFg8N,1,4,11

974757225079214081,2018-03-16,pic.twitter.com/1KxUzqNtQz,1,4,15

974730790750826496,2018-03-16,pic.twitter.com/sizuJh7aN5,0,4,11

974714459779485702,2018-03-16,pic.twitter.com/kld0ZNTk4D,0,1,4

974710698755403776,2018-03-16,pic.twitter.com/8XUKuj8xwY,0,20,15

974691861758652416,2018-03-16,pic.twitter.com/qdC9Yy0NFM,0,2,2

974651534083584001,2018-03-16,pic.twitter.com/6gCNRAl1Lu,0,7,17

974474097005559808,2018-03-15,pic.twitter.com/cRm3V42378,2,7,17

974442687058382848,2018-03-15,pic.twitter.com/tGMI6peFFj,0,11,13

974399877349330944,2018-03-15,pic.twitter.com/jVBLxNAYns,0,10,12

974348290585133057,2018-03-15,pic.twitter.com/IeyUOFzsLp,0,9,16

974321924917678080,2018-03-15,pic.twitter.com/kng0dJACcS,1,24,25

974286635683713025,2018-03-15,pic.twitter.com/9bSjYO00x0,0,7,7

974115484806283266,2018-03-14,pic.twitter.com/xRN4zBcVm8,0,29,27

974078994520961024,2018-03-14,pic.twitter.com/rDMtK3JDbJ,0,8,15

974035212811173890,2018-03-14,pic.twitter.com/uOleyaIpm2,0,23,36

973936394530902016,2018-03-14,pic.twitter.com/gHhg9Hg2ew,0,10,12

973753094847827968,2018-03-13,pic.twitter.com/tMpGVgVE3c,2,14,16

973717884185841664,2018-03-13,pic.twitter.com/zcCWzvR7Xi,0,10,15

973666280220909569,2018-03-13,pic.twitter.com/IWtIvsesp5,1,21,23

973629147950989313,2018-03-13,pic.twitter.com/GmkeNAsC4i,0,10,10

973566558709698565,2018-03-13,pic.twitter.com/NTy7awXQ6p,0,16,21

973354218823344133,2018-03-12,pic.twitter.com/4P2GXjGfuT,1,36,36

973327801024737280,2018-03-12,pic.twitter.com/Dg4927YPn2,0,2,3

973305152525488128,2018-03-12,pic.twitter.com/z39HZrdW2k,0,10,12

973265718006317056,2018-03-12,pic.twitter.com/UIvHTXf1S3,0,18,14

973227444948803584,2018-03-12,pic.twitter.com/KcJuj59joQ,1,59,75

973023303639228417,2018-03-11,pic.twitter.com/29ab83jWi8,0,50,35

972990585119432704,2018-03-11,pic.twitter.com/Sn91W7sT4g,0,10,11

972944021923516416,2018-03-11,pic.twitter.com/kTuIWt07sT,1,15,16

972899991550341126,2018-03-11,pic.twitter.com/kFYbVdv10V,0,6,13

